phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://python.robertdevore.com/course/file-io-and-data-persistence/,content/posts/file-io-and-data-persistence.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/file-io-and-data-persistence/,200,2.2. File I/O & Data Persistence | Python Course,48,"Learn to read from and write to files, handle different formats, and make your programs interact with real data that survives after your script ends.",149,2.2. File I/O & Data Persistence,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2,2527,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,c3d92eaa0f19f96d42ebd6a239251a41578e3b2f8b705491fa93c9ad8c097ea8,
baseline,https://python.robertdevore.com/course/functions-and-modules/,content/posts/functions-and-modules.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/functions-and-modules/,200,1.4. Functions & Modules | Python Course,40,"Organize your code into reusable chunks, make it more readable, and start building real programs by leveraging Python's modular design.",135,1.4. Functions & Modules,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,2371,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,55926a14b25ad4912b6a3a248d72d28947810e3987a46897c7f8d48929bff71e,
baseline,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,content/posts/generators-decorators-and-context-managers.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/generators-decorators-and-context-managers/,200,"3.2. Generators, Decorators and Context Managers | Python Course",64,"These three features represent some of Python's most powerful and ""Pythonic"" constructs. They allow you to write cleaner, more efficient, and more maintainable code by managing state,…",184,"3.2. Generators, Decorators and Context Managers",h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h2,1826,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,8e67e4bba447d471391a3b613f94f40f1c7e2b6a8b9a3a1903771fdd5307ff3a,
baseline,https://python.robertdevore.com/course/,templates/page-course.html,course-collection,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/,200,Python Course Curriculum | Python Course,40,"Browse all Python lessons from beginner fundamentals through testing, APIs, concurrency, and professional package distribution.",127,Python Course,h1 > h2 > h2 > h2 > h2 > h2 > h2,253,en,,,Robert DeVore,false,CollectionPage | Course | ImageObject | Organization,26,31,1,0,0,0,0,0,1,false,true,false,false,d24ff5b76773ad421c49de63024b99588bbb156c3ffb5c18ebed354fa0c89cd1,
baseline,https://python.robertdevore.com/course/introduction-to-testing/,content/posts/introduction-to-testing.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/introduction-to-testing/,200,2.5. Introduction to Testing | Python Course,44,"Get started with writing and running tests so your code stays reliable, refactor-safe, and bug-free as it grows.",112,2.5. Introduction to Testing,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,2266,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,039da3b1f35c44cb22928aa7360fa83b35e6da44684a02971e1afdcefafce743,
baseline,https://python.robertdevore.com/course/object-oriented-programming/,content/posts/object-oriented-programming.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/object-oriented-programming/,200,2.1. Object-Oriented Programming (OOP) | Python Course,54,Object-Oriented Programming (OOP) is a programming paradigm that organizes code around objects rather than functions and logic. Think of it as a way to model real-world concepts in your…,186,2.1. Object-Oriented Programming (OOP),h1 > h2 > h2 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h2 > h3 > h2 > h2 > h2,2535,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,d33efa20609949442c3f04885fa0d250bad6dfea192207490f83cfad0fdfc69c,
baseline,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,content/posts/packaging-distribution-and-best-practices.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,200,"3.5. Packaging, Distribution, and Best Practices | Python Course",64,"Transform your Python scripts into professional, reusable packages that others can install with pip . Learn industry-standard practices for code organization, documentation, testing, and…",187,"3.5. Packaging, Distribution, and Best Practices",h1 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h2,1759,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,7c3e00eb8511ecf2f13a46884ec955bb0c7f928892585e3739194eb6afc11ee5,
baseline,https://python.robertdevore.com/course/page/2/,templates/page-course.html,course-pagination,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/page/2/,200,Python Course Curriculum - Page 2 | Python Course,49,Continue the Python development curriculum on page 2 of 4.,58,Python Course,h1 > h2 > h2 > h2 > h2 > h2 > h2,242,en,,,Robert DeVore,false,CollectionPage | Course | ImageObject | Organization,3,32,1,0,0,0,0,0,2,false,true,false,false,66234babae2fb550d9efa1a8f9455e9aa09c166a1332343f8580940389f222f2,
baseline,https://python.robertdevore.com/course/page/3/,templates/page-course.html,course-pagination,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/page/3/,200,Python Course Curriculum - Page 3 | Python Course,49,Continue the Python development curriculum on page 3 of 4.,58,Python Course,h1 > h2 > h2 > h2 > h2 > h2 > h2,221,en,,,Robert DeVore,false,CollectionPage | Course | ImageObject | Organization,3,32,1,0,0,0,0,0,2,false,true,false,false,5dd75e57d79683e4f3003d69ec4cf226523f4e4fbfcaacc115107dbcd70d76b5,
baseline,https://python.robertdevore.com/course/page/4/,templates/page-course.html,course-pagination,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/page/4/,200,Python Course Curriculum - Page 4 | Python Course,49,Continue the Python development curriculum on page 4 of 4.,58,Python Course,h1 > h2 > h2,101,en,,,Robert DeVore,false,CollectionPage | Course | ImageObject | Organization,3,19,1,0,0,0,0,0,2,false,true,false,false,7ef8a49cf70d0527365c7fe72c955c659ba06731407399e2355bec9e4901d4a8,
baseline,https://python.robertdevore.com/course/python-setup-and-ides/,content/posts/python-setup-and-ides.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/python-setup-and-ides/,200,1.1. Python Setup & IDEs | Python Course,40,"Welcome to your Python journey! Before we dive into writing code, we need to set up your development environment properly. Think of this as preparing your workspace—just like a carpenter…",187,1.1. Python Setup & IDEs,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h2,2040,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,2686634099ade688bbbe8f441292d6b2c3f52d22af75ebee4040780e29982490,
baseline,https://python.robertdevore.com/course/python-syntax-and-data-types/,content/posts/python-syntax-and-data-types.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/python-syntax-and-data-types/,200,1.2. Syntax & Data Types | Python Course,40,"Master Python's basic building blocks—variables, data types, and simple operations—so you can start manipulating data with confidence.",134,1.2. Syntax & Data Types,h1 > h2 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2,1134,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,c222a2e5ce1adef1fe649629c7ed4cd922119ccfa5a8c38c23a4ab9b2aafd26f,
baseline,https://python.robertdevore.com/course/syntax-and-data-types/,content/posts/syntax-and-data-types.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/syntax-and-data-types/,200,"1.3. Control Flow (If, For, While) | Python Course",50,"Control flow is what makes your programs truly intelligent. Instead of just executing line by line from top to bottom, you'll learn to make your code make decisions, repeat actions, and…",186,"1.3. Control Flow (If, For, While)",h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2,2513,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,4ca2f7cc533feb9d06aca6729a3f5f06852b5588bf3a848ac1aea118373a817a,
baseline,https://python.robertdevore.com/course/virtual-environments-and-package-management/,content/posts/virtual-environments-and-package-management.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/virtual-environments-and-package-management/,200,2.3. Virtual Environments & Package Management | Python Course,62,"One of the most crucial skills for any Python developer is managing dependencies and isolating project environments. Without proper package management, you'll quickly run into conflicts…",186,2.3. Virtual Environments & Package Management,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2,1861,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,19c130be84a33b1679303c3f9c9f58040a19f2a6b40939e5d66c19a5d1887480,
baseline,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,content/posts/welcome-to-the-complete-python-development-course.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,200,Welcome to the Complete Python Development Course | Python Course,65,Welcome to your comprehensive journey into Python programming! Whether you're taking your first steps into the world of coding or looking to elevate your existing Python skills to a…,182,Welcome to the Complete Python Development Course,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2,1936,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,26,30,1,0,0,0,0,0,1,false,true,false,false,ebb5e1579f6b4f1dc15e415ba53069cd77aa9b8cf058d33c281f2f8560330679,
baseline,https://python.robertdevore.com/,templates/page-home.html,home,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/,200,Python Course,13,A complete path from Python beginner to professional developer.,63,Learn Python. Build real things.,h1 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2 > h2,411,en,,,Robert DeVore,false,Course | Organization | Person | WebSite,26,32,1,0,0,0,0,0,0,false,true,false,false,7d7af97ef173a4f6df423337d67930d8d734cf703b68fd8c47a66228f1db00ca,
after,https://python.robertdevore.com/about/,content/pages/about.md,about,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/about/,200,About This Site | Python Course,31,Learn about the complete Python development course and the Kujo SSG and SiteKit stack behind it.,96,About This Site,h1 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2,685,en,,,Robert DeVore,false,AboutPage | ImageObject,26,16,1,0,0,0,0,0,1,false,true,false,false,8c5a74157f1122d6b3ba4017466fbde65736bec046edba643a1881ba2c2e0881,
after,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,content/posts/advanced-data-structures-and-algorithms.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,200,3.1. Advanced Data Structures & Algorithms | Python Course,58,Go beyond the basics with built-in and specialized data structures that make your code faster and more efficient for real-world tasks.,134,3.1. Advanced Data Structures & Algorithms,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h2,2482,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,62ba23d54e58fce3d959701d90cd41ec5a81ea360284cb2fb0f70c7cd8332fd7,
after,https://python.robertdevore.com/course/basic-error-handling/,content/posts/basic-error-handling.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/basic-error-handling/,200,1.5. Basic Error Handling | Python Course,41,"Prepare for inevitable mistakes - catch, handle, and recover from errors so your scripts don't just crash at the first sign of trouble.",135,1.5. Basic Error Handling,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2 > h2,2281,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,95db48522b03af93dbe646615da249c1ccbc28d672a1dd8a470a8a6a1bd069b8,
after,https://python.robertdevore.com/course/building-and-consuming-apis/,content/posts/building-and-consuming-apis.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/building-and-consuming-apis/,200,3.4. Building and Consuming APIs | Python Course,48,"Build and consume Python APIs with Flask, FastAPI, validation, authentication, async clients, documentation, testing, and deployment patterns.",142,3.4. Building and Consuming APIs,h1 > h2 > h2 > h2 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h2,2424,en,2025-06-17,2026-08-10,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,d5f302cd7346539233cfee6991ad1c26ed362b4c222cfaf3eab1d0d85836c3e7,
after,https://python.robertdevore.com/course/chapter-1-beginner-python/,content/posts/chapter-1-beginner-python.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-1-beginner-python/,200,Chapter 1: Beginner Python | Python Course,42,"Build a Python foundation through setup, syntax, data types, control flow, functions, modules, and practical error handling.",124,Chapter 1: Beginner Python,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2,1823,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,23,31,1,0,0,0,0,0,1,false,true,false,false,93e848eacf62b2a0d82b5ce010329032341df3227e79724a04fd2b03d779c889,
after,https://python.robertdevore.com/course/chapter-2-intermediate-python/,content/posts/chapter-2-intermediate-python.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-2-intermediate-python/,200,Chapter 2: Intermediate Python | Python Course,46,"Move from Python fundamentals to object-oriented design, file persistence, package management, robust exceptions, and automated testing.",136,Chapter 2: Intermediate Python,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2,1982,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,f2ed67b3441aaa76dff51c8c5a3b09a9247912c4616dae191933943358b353f3,
