phase,url,schema_types,json_ld_blocks,valid_json,visible_match,rich_result_eligible,issues,recommended_action
baseline,https://python.robertdevore.com/about/,AboutPage | ImageObject,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/,CollectionPage | Course | ImageObject | Organization,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/introduction-to-testing/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/object-oriented-programming/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/page/2/,CollectionPage | Course | ImageObject | Organization,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/page/3/,CollectionPage | Course | ImageObject | Organization,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/page/4/,CollectionPage | Course | ImageObject | Organization,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/python-setup-and-ides/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/python-syntax-and-data-types/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/syntax-and-data-types/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/virtual-environments-and-package-management/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,Article | ImageObject | Organization | Person | Thing | WebPage,1,true,manual sample verified,not guaranteed; type-dependent,,none
after,https://python.robertdevore.com/,Course | Organization | Person | WebSite,1,true,manual sample verified,not guaranteed; type-dependent,,none
